product_id,brand_name,review_id,review_title,review_text,author,review_date,review_rating,is_a_buyer,pro_user,review_label,product_title,mrp,price,product_rating,product_rating_count,product_tags,product_url,review_year,sentiment
266374,L'Oreal Paris,2100527,Excellent,"Totally worth the Hype, use it as per your natural hair colour and you’re through.",Arjun choudhary,13/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2105229,Best Product,"""Don’t be bothered about the side effects because you are not going to have any. This is going to be a really convenient and time efficient way to colour your hair.""",Swati Khera,13/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2131595,Worth Buy.,A must-try if you want to try something new without being too harsh on your Pocket.,Ramya,17/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2144028,Nice colour,I loved the colour though the colour may be different depending on the colour of the hair.,bariya ansari,19/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2145732,Awesome,Awesome results. Recommended this to my friends also.,akanksha sharma,19/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2150413,Awesome product.,I got superb results few minutes prior office meeting. Pocket size Loreal Paris magic touch is easy to carry and convenient as well.,Jyoti Krishna,19/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2150445,Superb product .,I got an Instant Hair look in 60 mins! Glad to use Loreal Paris Magic touch. Its easy to use and give good grey hair coverage now I feel more youthful.,Sumita Kapoor ,19/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2150495,Awesome product,"Magical color black naturally covers white hairs! Give it a special day or normal routine day, I would always feel special.",PUJA TEKARIWAL,19/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2150564,Amazed by its results on first experience.,"Portal fixes long hours at the salon for hair dye, in a fraction of second I am able to turn my grey hairs to black.",Antara Chatterjee,19/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,2151645,Nice product.,Amazing product- The brush is super smooth and very efficient- gives my hair a lovely color.,Ruby Agarwal,19/6/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
